task_id,solvability,plausibility,diversity,duration,error
01_magic_staff_v1,YES,Good,Good,17.6,""
01_magic_staff_v2,YES,Good,Good,16.7,""
02_arrow_production_v1,YES,Good,Good,17.6,""
02_arrow_production_v2,YES,Good,Good,17.4,""
03_silver_ring_v1,YES,Bad,Bad,12.9,""
03_silver_ring_v2,YES,Good,Good,14.7,""
04_axe_crafting_v1,YES,Good,Bad,14.9,""
04_axe_crafting_v2,YES,Good,Good,14.3,""
05_beryl_pendant_v1,YES,Bad,Bad,16.1,""
05_beryl_pendant_v2,YES,Good,Good,14.4,""
06_heavy_sword_v1,YES,Bad,Bad,12.2,""
06_heavy_sword_v2,YES,Good,Good,15.7,""
07_pickaxe_crafting_v1,YES,Bad,Bad,15.3,""
07_pickaxe_crafting_v2,YES,Good,Good,15.5,""
08_bronze_alloy_v1,YES,Good,Good,14.9,""
08_bronze_alloy_v2,YES,Good,Good,13.7,""
09_topaz_ring_v1,YES,Good,Good,13.8,""
09_topaz_ring_v2,YES,Good,Good,16.0,""
100_resource_survey_v1,YES,Good,Good,15.0,""
100_resource_survey_v2,YES,Good,Good,15.7,""
10_cooking_stew_v1,YES,Bad,Bad,13.0,""
10_cooking_stew_v2,YES,Good,Good,11.7,""
11_lightning_staff_v1,YES,Good,Bad,14.5,""
11_lightning_staff_v2,YES,Good,Good,20.4,""
12_gold_ring_v1,YES,Bad,Bad,13.0,""
12_gold_ring_v2,YES,Good,Good,15.3,""
13_bucket_crafting_v1,NO,Bad,Bad,11.9,""
13_bucket_crafting_v2,YES,Bad,Bad,12.8,""
14_shrimp_cooking_v1,YES,Good,Bad,12.4,""
14_shrimp_cooking_v2,YES,Good,Bad,13.4,""
15_jellyfish_smoothie_v1,YES,Good,Bad,12.6,""
15_jellyfish_smoothie_v2,YES,Good,Good,13.2,""
16_resource_protection_v1,YES,Bad,Bad,12.4,""
16_resource_protection_v2,YES,Good,Good,11.9,""
17_forest_gathering_v1,YES,Bad,Bad,13.0,""
17_forest_gathering_v2,YES,Good,Bad,12.1,""
18_coastal_harvest_v1,YES,Bad,Bad,12.3,""
18_coastal_harvest_v2,YES,Good,Good,12.9,""
19_farm_defense_v1,YES,Bad,Bad,14.6,""
19_farm_defense_v2,YES,Good,Good,12.4,""
20_orchard_protection_v1,YES,Bad,Bad,11.9,""
20_orchard_protection_v2,YES,Good,Good,13.4,""
21_mining_expedition_v1,YES,Bad,Bad,13.0,""
21_mining_expedition_v2,YES,Good,Good,12.0,""
22_magical_defense_v1,YES,Bad,Good,13.6,""
22_magical_defense_v2,YES,Good,Good,13.8,""
23_underwater_expedition_v1,YES,Bad,Bad,11.1,""
23_underwater_expedition_v2,NO,Bad,Bad,14.0,""
24_ancient_ruins_v1,YES,Bad,Bad,13.3,""
24_ancient_ruins_v2,YES,Good,Bad,14.6,""
25_ice_cavern_challenge_v1,YES,Bad,Bad,15.0,""
25_ice_cavern_challenge_v2,YES,Good,Good,16.1,""
26_desert_caravan_v1,YES,Bad,Bad,11.8,""
26_desert_caravan_v2,YES,Good,Good,13.0,""
27_volcanic_forge_v1,YES,Bad,Bad,13.4,""
27_volcanic_forge_v2,YES,Good,Good,15.9,""
28_dark_forest_cleansing_v1,YES,Bad,Bad,14.1,""
28_dark_forest_cleansing_v2,YES,Good,Good,14.5,""
29_castle_siege_v1,YES,Bad,Bad,12.7,""
29_castle_siege_v2,YES,Good,Bad,14.1,""
30_legendary_boss_hunt_v1,YES,Good,Bad,14.0,""
30_legendary_boss_hunt_v2,YES,Good,Bad,13.6,""
31_woodworking_production_v1,YES,Bad,Bad,14.8,""
31_woodworking_production_v2,YES,Good,Good,15.4,""
32_wilderness_creature_hunt_v1,YES,Good,Good,14.7,""
